name,role,uni,image,url
Juergen Dingel,Chair,Queen's University (Canada) ,jdingel.jpg,http://research.cs.queensu.ca/~dingel/
Jordi Cabot ,Vice-Chair,ICREA - UOC (Spain) ,jcabot.jpg,https://jordicabot.com/
Silvia Abrahão ,,Universitat Politècnica de València (Spain) ,sabrahao.png,https://sabrahao.wixsite.com/dsic-upv
Don Batory ,,UT Austin (USA) ,dbatory.jpeg,http://www.cs.utexas.edu/users/dsb/
Benoit Baudry ,,KTH (Sweden),bbaudry.png,http://people.rennes.inria.fr/Benoit.Baudry/
Ruth Breu ,,University of Innsbruck (Austria) ,rbreu.jpg,https://q-e.at/ruth-breu/
Lionel Briand ,,University of Luxembourg (Luxembourg) ,lbriand.jpg,https://wwwfr.uni.lu/snt/people/lionel_briand
Silvia Ceballos ,,IEEE CS ,sceballos.png,
Jane Cleland ,,DePaul University (USA) ,jcleland.jpg,http://www.cdm.depaul.edu/about/Pages/People/FacultyInfo.aspx?id=342
Alexander Egyed ,,JKU Linz (Austria) ,aegyed.jpg,http://www.alexander-egyed.com/
Jeff Gray ,,University of Alabama (USA) ,jgray.jpg,http://gray.cs.ua.edu/
Øystein Haugen ,,SINTEF (Norway) ,ohaugen.jpg,https://folk.uio.no/oysteinh/
Marouane Kessentini,, University of Michigan (USA),mkessentini.jfif,http://www-personal.umd.umich.edu/~marouane/
Jörg Kienzle ,,McGill University (Canada) ,jkienzle.png,http://www.cs.mcgill.ca/~joerg/Home/Jorgs_Home.html
Vinay Kulkarni ,,Tata Consultancy Services (India) ,vkulkarni.jfif,http://sites.tcs.com/blogs/research-and-innovation/author/vinay-kulkarni
Thomas Kühne ,,Victoria University of Wellington (New Zealand) ,tkuhne.jpg,https://ecs.victoria.ac.nz/Main/ThomasKuehne
Juan de Lara,,Universidad Autónoma de Madrid (Spain),jlara.jpg, http://arantxa.ii.uam.es/~jlara/
Timothy C. Lethbridge ,,University of Ottawa (Canada) ,tlethbridge.jpg,http://www.site.uottawa.ca/~tcl/
Ana Moreira ,,Universidade Nova de Lisboa (Portugal) ,amoreira.png,http://nova-lincs.di.fct.unl.pt/person/12
Pierre-Alain Muller ,,University of Haute-Alsace (France) ,pmuller.jpg,http://pierrealain.muller.free.fr/
Richard Paige ,,University of York (UK),rpaige.jpg,https://www-users.cs.york.ac.uk/~paige/
Alexander Pretschner ,,Technical University of Munich (Germany) ,apretschner.jfif,https://www22.in.tum.de/en/pretschner/
Eugene Syriani ,,University of Montreal (Canada) ,esyriani.png,http://www-ens.iro.umontreal.ca/~syriani/main.html
Wolfram Schulte ,,Facebook (USA) ,wschulte.jpg,http://wolframschulte.com/
Andrzej Wasowski ,,IT University Copenhagen (Denmark) ,awasowski.jpeg,http://www.itu.dk/people/wasowski/
Jon Whittle ,,Monash University (Australia) ,jwhittle.jpg,http://www.jonwhittle.org/
Tao Yue,, Simula (Norway),tyue.jpg, https://www.simula.no/people/tao/
